#,Company,Symbol,Weight,Price,Chg,% Chg
352,Hologic Inc.,HOLX,0.050128,62.51,0.91,-1.48%
353,Westinghouse Air Brake Technologies Corporation,WAB,0.049593,86.57,2.59,-3.08%
354,Ball Corporation,BALL,0.049501,49.2,0.69,-1.42%
355,Synchrony Financial,SYF,0.049367,32.41,0.85,-2.69%
356,Paycom Software Inc.,PAYC,0.049247,323.01,4.7,-1.48%
357,J.M. Smucker Company,SJM,0.049135,142.81,1.76,-1.25%
358,FactSet Research Systems Inc.,FDS,0.048727,407.09,7.56,-1.89%
359,IDEX Corporation,IEX,0.048709,203.95,4.66,-2.34%
360,EQT Corporation,EQT,0.048275,37.88,-2.86,(-7.02%)
361,Targa Resources Corp.,TRGP,0.04824,67.79,2.02,-3.07%
362,Ventas Inc.,VTR,0.048163,37.13,-0.31,(-0.83%)
363,Expeditors International of Washington Inc.,EXPD,0.047662,92.95,3.2,-3.57%
364,KeyCorp,KEY,0.047531,16.9,1.05,-6.62%
365,Essex Property Trust Inc.,ESS,0.04743,227.78,1.06,-0.47%
366,Jacobs Solutions Inc.,J,0.04733,115.02,2,-1.77%
367,FMC Corporation,FMC,0.047178,117.2,1.85,-1.60%
368,Align Technology Inc.,ALGN,0.046848,208.02,9.74,-4.91%
369,W. R. Berkley Corporation,WRB,0.046547,71.35,1.09,-1.55%
370,Omnicom Group Inc,OMC,0.045834,70.18,2.21,-3.25%
371,Monolithic Power Systems Inc.,MPWR,0.045796,331.5,14.06,-4.43%
372,Brown & Brown Inc.,BRO,0.045781,61.53,0.64,-1.05%
